frame, error, target, setting, rate, interval, timestamp, file, p, i, d
1, 0,13,13,0,8,2.1659998893737793,/capt0000.cr2,0,0,0
2, 0,12.985842232576546,12.993961496624701,-2.383358420247398,8,10.900999784469604,/capt0001.cr2,-0.015573544165799015,-0.0042473302270360945,-0.297960248306818
3, 0.006038503375298987,12.968415729703302,12.98710911157931,-2.826049508925132,8,21.282999992370605,/capt0002.cr2,-0.028100343613538394,-0.007940706868970436,-0.3407655507075088
4, 0.012890888420690416,12.957848389789904,12.979812621864241,-2.5069061819285072,8,30.39199995994568,/capt0003.cr2,-0.03218679396834645,-0.010344638420138707,-0.29172272520198245
5, 0.020187378135759104,12.934998788382254,12.971568298002111,-2.922367654949186,8,41.28699994087219,/capt0004.cr2,-0.04929521683018568,-0.013653370753949403,-0.32670043307575636
6, 0.02843170199788858,12.908061130102134,12.963113800990707,-3.5129488967058617,8,51.16799998283386,/capt0005.cr2,-0.0698578846899757,-0.017728525751622294,-0.38080677578585026
7, 0.03688619900929346,12.903971258612922,12.952870880893617,-3.6513033319656514,8,60.10799980163574,/capt0006.cr2,-0.06505679661556343,-0.020265239990914962,-0.4015184076556084
8, 0.0471291191063834,12.871409513444604,12.944355133921798,-3.3766592244239044,8,69.83200001716614,/capt0007.cr2,-0.08960750419391382,-0.02384168755072653,-0.3367720381785469
9, 0.05564486607820207,12.86375794842337,12.935473099671842,-3.30221246512876,8,79.5809998512268,/capt0008.cr2,-0.08865690404827103,-0.026565756856096575,-0.3250723344461337
10, 0.06452690032815767,12.877878241733852,12.926483713056902,-3.663737327497574,8,89.0789999961853,/capt0009.cr2,-0.06335434373178989,-0.027364872646766365,-0.39777909395445366
11, 0.07351628694309831,12.858472585602001,12.915193243906865,-4.141602704313803,8,96.28600001335144,/capt0010.cr2,-0.07481224020039026,-0.028586854812782163,-0.44881459889533465
12, 0.08480675609313515,12.83676003906082,12.906003519348909,-3.7934879496209812,8,106.09999990463257,/capt0011.cr2,-0.08627652533064901,-0.030126277154019207,-0.3893955907981293
13, 0.09399648065109112,12.856892694304069,12.896277092961958,-3.472001486665642,8,116.81900000572205,/capt0012.cr2,-0.05402190754932424,-0.030075524682702665,-0.3788360993233921
14, 0.10372290703804232,12.85576477390568,12.890325474231403,-2.369327372552796,8,125.23399996757507,/capt0013.cr2,-0.04456355096190574,-0.02966351516492153,-0.24168325021354553
15, 0.10967452576859671,12.833807334104801,12.88475218066379,-1.8368449000647171,8,134.02499985694885,/capt0014.cr2,-0.062169954139262636,-0.02994667309232419,-0.15279602611037543
16, 0.11524781933620964,12.83037721469696,12.879111552584831,-2.160700264338567,8,144.992999792099,/capt0015.cr2,-0.059812462563514225,-0.030114067247810093,-0.19816683876715127
17, 0.1208884474151688,12.832828419526884,12.872571107869843,-2.318621464692589,8,154.1909999847412,/capt0016.cr2,-0.05091144636374239,-0.02997617387057236,-0.22826190839136384
18, 0.1274288921301565,12.792859885797206,12.86540854555731,-2.9764774702896406,8,164.32299995422363,/capt0017.cr2,-0.08768234427990099,-0.030967871613517356,-0.27821344681186705
19, 0.13459145444269005,12.816429748997493,12.860359951110315,-1.9528247565471673,8,174.67599987983704,/capt0018.cr2,-0.053876676215798905,-0.030884682472589617,-0.17561527551790046
20, 0.13964004888968518,12.805364374280279,12.857528599390223,-1.1648989934091307,8,184.2149999141693,/capt0019.cr2,-0.0604951345130397,-0.03099031565386122,-0.06383441562098317
21, 0.14247140060977692,12.772249782908082,12.854110878020904,-1.2571571400378256,8,193.260999917984,/capt0020.cr2,-0.09380669813035532,-0.03195112395078615,-0.041863129923901954
22, 0.14588912197909565,12.770140163847197,12.841568580903346,-4.523822224547662,8,203.4009997844696,/capt0021.cr2,-0.09236778559107837,-0.032788910521396986,-0.47801960049387954
23, 0.15843141909665448,12.752685455764123,12.837916581048484,-1.3411404139041276,8,212.7279999256134,/capt0022.cr2,-0.09777143765314485,-0.03368199593714205,-0.04736528826359679
24, 0.16208341895151612,12.734009758517171,12.832012333001856,-2.4451044481607282,8,222.23499989509583,/capt0023.cr2,-0.11429750478444395,-0.03487625000304395,-0.17684017163394258
25, -0.16534566633519,12.536589173603902,12.821904324259112,-3.687558925200652,8,231.08399987220764,/capt0024.cr2,-0.32496547533774933,-0.040571355828473085,-0.12613769219386456
26, -0.1552376575924459,12.513016576600197,12.814772121723731,-3.0738571923108924,8,240.71099996566772,/capt0025.cr2,-0.33977652242480616,-0.04613909785796831,-0.023932005358677868
27, -0.14810545505706507,12.512593132438761,12.805032820317733,-3.536919707615481,8,249.4079999923706,/capt0026.cr2,-0.332396888213467,-0.05114533103252437,-0.08804707510273942
28, -0.13836615365106653,12.499810868769986,12.797260778668514,-3.0124192438831408,8,259.28600001335144,/capt0027.cr2,-0.3357441467025215,-0.05585918245738593,-0.010052570024511404
29, -0.13059411200184812,12.482221944323964,12.786462366152314,-3.9223373078720707,8,268.6050000190735,/capt0028.cr2,-0.3465427177790053,-0.06045104860046677,-0.11598454133680398
30, -0.11979569948564794,12.435658647537148,12.776981744937851,-3.8670106925070895,8,278.1309998035431,/capt0029.cr2,-0.38588409047668315,-0.06545208801942119,-0.06426524717150751
31, -0.11031507827118503,12.444355862792202,12.76426886212268,-4.632693403645656,8,287.16100001335144,/capt0030.cr2,-0.3658884703602141,-0.06977865064096857,-0.1820253328182382
32, -0.09760219545601423,12.414167694971956,12.753140700471382,-4.597358497207996,8,296.9729998111725,/capt0031.cr2,-0.38511128386579635,-0.07416246469251438,-0.15370738440275544
33, -0.0864740338047163,12.398094554793644,12.739933418701812,-4.8935996676051925,8,304.3239998817444,/capt0032.cr2,-0.3905507602455119,-0.07837050174445766,-0.18355869369072286
34, -0.07326675203514554,12.376350493490325,12.727724461970045,-4.794092957499922,8,313.80399990081787,/capt0033.cr2,-0.3999412177326358,-0.08248165625570573,-0.1567895203449814
35, -0.061057795303378626,12.372744101095678,12.7070435022144,-7.033675495542477,8,323.1569998264313,/capt0034.cr2,-0.3904783969618029,-0.08621041512053185,-0.46113458732332885
36, -0.0403768355477343,12.378952469539987,12.68955785205938,-6.825148060074813,8,333.5789999961853,/capt0035.cr2,-0.36090013594185444,-0.08928386524509062,-0.4598357401563634
37, -0.022891185392714064,12.351258973653549,12.671002456787777,-6.976441042064874,8,342.771999835968,/capt0036.cr2,-0.37212876624641483,-0.09235671556396652,-0.46570665713160175
38, -0.004335790121110961,12.33852434195875,12.65367285987849,-7.439369052400406,8,352.4800000190735,/capt0037.cr2,-0.365725926311929,-0.09517593012537308,-0.5310140172160853
39, 0.012993806788175633,12.320294117134592,12.635532477051147,-6.655664306811836,8,362.7449998855591,/capt0038.cr2,-0.36671661701828795,-0.09786442539514144,-0.422840865161482
40, 0.031134189615519503,12.321328889590475,12.618834830146406,-6.49012403984748,8,370.84999990463257,/capt0039.cr2,-0.34562394620673836,-0.10013086857217297,-0.4195950572007527
41, 0.047831836520259685,12.306834835411022,12.600665682914183,-6.511590844798929,8,379.80399990081787,/capt0040.cr2,-0.3431999942089224,-0.10225450584702804,-0.42275761258390665
42, 0.06600098375248287,12.289598295926645,12.584350612829331,-6.497151803702,8,389.8489999771118,/capt0041.cr2,-0.3421741256862923,-0.10426369456953982,-0.4198490869044344
43, 0.08231605383733509,12.272063749742783,12.566577038210093,-6.590263531697803,8,398.8939998149872,/capt0042.cr2,-0.3435155493952031,-0.10619644859936282,-0.4289898062318078
44, 0.10008962845657265,12.275873721051717,12.551203725845475,-6.769071002033174,8,408.6050000190735,/capt0043.cr2,-0.3197736488742143,-0.10774702909244607,-0.47502212230442953
45, 0.11546294082119068,12.256195894333802,12.533972123803904,-6.463197265019533,8,418.9609999656677,/capt0044.cr2,-0.32450861466284114,-0.10928608842165849,-0.42796493225143806
46, 0.13269454286276172,12.232596706203783,12.517723099253672,-6.40916931969277,8,426.73099994659424,/capt0045.cr2,-0.331512959360134,-0.11084128759858054,-0.4122016623336549
47, 0.14894356741299397,12.219874905930352,12.49976311619283,-6.29499941768411,8,435.6050000190735,/capt0046.cr2,-0.32763301265565214,-0.11228527969209993,-0.39941496334346255
48, -0.1664297828594954,12.058569632409556,12.480711256934875,-7.477833986986388,8,447.9399998188019,/capt0047.cr2,-0.48531283216160054,-0.11546092157913876,-0.39627077785744586
49, -0.14737792360154067,12.06601528838734,12.461564767441805,-7.24940704407359,8,454.9519999027252,/capt0048.cr2,-0.4561655654022872,-0.11818248605973837,-0.3922395544144531
50, -0.12823143410847138,12.02512697218916,12.443215231778733,-7.682987716568882,8,465.9559998512268,/capt0049.cr2,-0.4800815747779103,-0.12105608988157536,-0.4232606975496987
51, -0.10988189844539953,12.002865521778508,12.423432221652913,-7.384016221145944,8,473.0699999332428,/capt0050.cr2,-0.48438468100024773,-0.12386302588390007,-0.37628778926864476
52, -0.09009888831957902,11.987386410502545,12.404423398668884,-7.56319216871152,8,482.74000000953674,/capt0051.cr2,-0.47965039226540507,-0.12899297660331616,-0.3997822536261481
53, -0.07109006533555018,11.971708102966044,12.383849114516767,-7.550965740403548,8,491.7589998245239,/capt0052.cr2,-0.47598682527312397,-0.13391718281836776,-0.39689142396231475
54, -0.05051578118343336,11.971451810155962,12.363817897520264,-7.5203234109309065,8,501.75299978256226,/capt0053.cr2,-0.45363703479688594,-0.13846837737647844,-0.41060437595075644
55, -0.030484564186929575,11.940551029986338,12.341768248929801,-7.515502265258844,8,511.18699979782104,/capt0054.cr2,-0.4655935542873181,-0.1431037437970022,-0.39336967061685885
56, -0.008434915596467363,11.925566614229792,12.324591338510244,-7.684463465938582,8,521.4749999046326,/capt0055.cr2,-0.45782179817000995,-0.14515407527821378,-0.4216192553435872
57, 0.008741994823090238,11.912741929060985,12.30376865899202,-7.662439565123632,8,531.6929998397827,/capt0056.cr2,-0.45303435039418455,-0.1515711560648528,-0.41705310222411357
58, 0.029564674341314046,11.890631904468437,12.283652126508153,-7.820682175153462,8,539.5699999332428,/capt0057.cr2,-0.4544504299759412,-0.15573579385480338,-0.4325713995230504
59, 0.049681206825180624,11.877247257158078,12.260691075905019,-8.384195371872066,8,550.5879998207092,/capt0058.cr2,-0.4470453562850823,-0.15955865858305116,-0.5112887013814754
60, 0.0726422574283152,11.886018596656736,12.239671550465738,-8.183226082124833,8,560.3349997997284,/capt0059.cr2,-0.41213972717311054,-0.16301836792128474,-0.5159387158555825
61, 0.09366178286759563,11.881468288223402,12.217241024532983,-8.15490742859199,8,567.923999786377,/capt0060.cr2,-0.39402358846656954,-0.1665549373836888,-0.5267424646286737
62, 0.11609230880035071,11.861982648826586,12.197646431071433,-8.406690080035581,8,577.816999912262,/capt0061.cr2,-0.39078421327703644,-0.16993431677488288,-0.5601734806194916
63, 0.1356869022619005,11.840134068239633,12.175434420407292,-8.356488493145722,8,586.4639999866486,/capt0062.cr2,-0.39326359911498004,-0.17321760098648,-0.5477172656513029
64, 0.15789891292604175,11.836891312891655,12.157146061800193,-7.27894869934303,8,595.7679998874664,/capt0063.cr2,-0.3723974182672006,-0.17662268666260703,-0.4215063883159298
65, -0.15714606180019253,11.687015918059325,12.135187263325957,-8.258637119436859,8,606.4979999065399,/capt0064.cr2,-0.5171431581149541,-0.18167701401183747,-0.40233144379812286
66, -0.13518726332595676,11.660905912451703,12.114259166042926,-8.348974979932656,8,615.8980000019073,/capt0065.cr2,-0.521709485961679,-0.18365570240631277,-0.407831475623029
67, -0.11425916604292574,11.651888397210149,12.091306208869355,-8.235886158163702,8,625.6029999256134,/capt0066.cr2,-0.5086078457160547,-0.18833861735292248,-0.40117169135284975
68, -0.09130620886935503,11.644307466874848,12.071624587761416,-8.348513725531003,8,635.0169999599457,/capt0067.cr2,-0.49169861619395816,-0.19286889169170338,-0.4285676555184722
69, -0.07162458776141634,11.622966063043554,12.048572443964153,-8.299601727187813,8,642.0189998149872,/capt0068.cr2,-0.4935243771896483,-0.19751168467239472,-0.41557750176299885
70, -0.04857244396415261,11.580318447790217,12.027206358852558,-8.35973333352283,8,651.9509999752045,/capt0069.cr2,-0.5150793957913287,-0.20199487052740964,-0.397556844817639
71, -0.027206358852557955,11.572568868523092,12.005289697867331,-8.279116426738256,8,661.1529998779297,/capt0070.cr2,-0.5001012393624125,-0.20667554776321334,-0.3971054031061416
72, -0.0052896978673313555,11.57411114245639,11.985690458000715,-7.968970354621698,8,670.7939999103546,/capt0071.cr2,-0.47429641095203545,-0.211016120592993,-0.37721684907119785
73, 0.014309541999285358,11.564154050829545,11.963578613100742,-7.949929255957466,8,681.5019998550415,/capt0072.cr2,-0.4636900478882863,-0.21489601587017415,-0.381404503702535
74, 0.036421386899258223,11.537371119762026,11.943569003630776,-8.01542161921405,8,691.470999956131,/capt0073.cr2,-0.468828242672587,-0.2188449017836165,-0.3810497381056697
75, 0.05643099636922422,11.547368332195548,11.92023333036301,-8.354059642398756,8,698.5569999217987,/capt0074.cr2,-0.43582073857875053,-0.2223908734716473,-0.455663006936103
76, 0.07976666963699053,11.556066367431074,11.89969151149634,-8.364500386835685,8,708.6639997959137,/capt0075.cr2,-0.40058365922512956,-0.22539387509165457,-0.4892891839279739
77, 0.1003084885036607,11.565518223396076,11.87837082728049,-8.120446802481563,8,717.441999912262,/capt0076.cr2,-0.3675906169102899,-0.22584099196129656,-0.48929463145928864
78, 0.12162917271951024,11.532989769286226,11.858849740312339,-8.307827531072475,8,726.8779997825623,/capt0077.cr2,-0.3799191637936897,-0.22626206861901213,-0.501529105063628
79, 0.14115025968766126,11.541061602580577,11.835868894911192,-7.864915243286452,8,737.2359998226166,/capt0078.cr2,-0.34956695150493844,-0.2264421741780135,-0.4726462400885749
80, 0.16413110508880813,11.5190892836486,11.815514384957497,-8.015339732367265,8,746.3239998817444,/capt0079.cr2,-0.3484575723888503,-0.22657553179010786,-0.4936788601366773
81, -0.1488477182908312,11.335240806106105,11.789347975048592,-9.392668827605814,8,756.9049999713898,/capt0080.cr2,-0.5283009367365313,-0.2284820865344175,-0.49557282040982636
82, -0.12268130838192626,11.315120696079722,11.765760277825553,-9.443473087516065,8,765,/capt0081.cr2,-0.5216500068657572,-0.22990620453849872,-0.507573533597886
83, -0.09909361115888693,11.297260578117585,11.740650635486283,-9.200479635763163,8,774.0369999408722,/capt0082.cr2,-0.5153496696787644,-0.23147397935652558,-0.47990696906646496
84, -0.07398396881961666,11.27976672241372,11.717618555139174,-9.328925433122652,8,783.9009997844696,/capt0083.cr2,-0.5069723043798187,-0.23275224180946985,-0.5041321782270651
85, -0.050951888472507534,11.26995907982084,11.694696642347905,-9.273868964774957,8,794.2929999828339,/capt0084.cr2,-0.49242542285016727,-0.2338208571514767,-0.5102695819683503
86, -0.028029975681238994,11.25041552266976,11.67060364966514,-8.914159677076542,8,804.316999912262,/capt0085.cr2,-0.4887092316459594,-0.2347519901645535,-0.4650934017996926
87, -0.003936982998473226,11.209405155429724,11.645394834361724,-8.89635673877975,8,813.5479998588562,/capt0086.cr2,-0.5073183436589563,-0.23597758401102717,-0.4428849708339831
88, 0.021271832304941896,11.229902885523524,11.625192612323064,-7.821055956466064,8,823.561999797821,/capt0087.cr2,-0.45704114372202037,-0.23698605612060927,-0.34878026101951215
89, 0.04147405434360252,11.201711593167126,11.603618494807797,-8.124144671020868,8,832.7099997997284,/capt0088.cr2,-0.4658291210715318,-0.23796892697541822,-0.37942124142249894
90, 0.06304817185886868,11.221668196139857,11.58516769745518,-7.61992319254578,8,841.8409998416901,/capt0089.cr2,-0.42014532853473396,-0.23853975986586723,-0.3573046706055027
91, 0.08149896921148603,11.197613169023361,11.56534337638686,-7.56733706350871,8,850.8999998569489,/capt0090.cr2,-0.42630998127500086,-0.23916486508534318,-0.3435034287741506
92, 0.10132329027980624,11.18221934444829,11.54307998972157,-8.361835367245318,8,860.5139999389648,/capt0091.cr2,-0.42143643513242657,-0.23996010098316517,-0.4535148461837839
93, 0.12358667694509684,11.174997770140008,11.521435810223123,-8.274296080960601,8,870.0099999904633,/capt0092.cr2,-0.4048904415397173,-0.24060720357754406,-0.4577418323441522
94, 0.1452308564435434,11.141025836693382,11.499505372824416,-8.470984402934228,8,879.4279999732971,/capt0093.cr2,-0.4184509708827147,-0.2414073103453387,-0.46960630582984364
95, -0.16617203949108195,10.982187192498634,11.4736110442143,-9.533604315444693,8,888.6529998779297,/capt0094.cr2,-0.5690499983583606,-0.24377305631348373,-0.4583241873874482
96, -0.14027771088096586,10.974598380673308,11.44976132579444,-9.399932812731898,8,898.1349999904633,/capt0095.cr2,-0.5489139298950907,-0.24617662569482163,-0.4582338194410074
97, -0.11642799246110691,10.92843335926991,11.423024263157217,-9.725515357583637,8,907.3699998855591,/capt0096.cr2,-0.5734607631769841,-0.25012061503094835,-0.4731540028032193
98, -0.08969092982388283,10.88557711592792,11.397269329434394,-9.652067603806334,8,917.4689998626709,/capt0097.cr2,-0.5911918619522272,-0.2515119164406912,-0.4442385687812596
99, -0.06393599610106016,10.885608088577303,11.368938703763346,-9.274370502479856,8,927.6979999542236,/capt0098.cr2,-0.5628273649428,-0.2537684586895342,-0.4199869100316467
100, -0.03560537043001233,10.85664666603807,11.34677219802952,-9.800960530799955,8,937.6089999675751,/capt0099.cr2,-0.5635212414978034,-0.254799357996181,-0.48847413794600963
101, -0.013438864696185604,10.823254432540141,11.31967577679361,-9.679213777463744,8,946.5099999904633,/capt0100.cr2,-0.5758695420383164,-0.25594111797676333,-0.45875117698008616
102, 0.01365755653972478,10.817907350526323,11.29494966815444,-9.514107642263046,8,956.5409998893738,/capt0101.cr2,-0.5519452688940153,-0.25666369110931697,-0.4599387256317406
103, 0.03838366517889469,10.799272301536744,11.269995217079193,-9.353047774168225,8,965.6309998035431,/capt0102.cr2,-0.5452451032794645,-0.2573652388206974,-0.4444626944556014
104, 0.06333811625414043,10.816050277098444,11.249541084718373,-8.425043077683625,8,975.2239999771118,/capt0103.cr2,-0.4993394339788241,-0.25761499934161397,-0.36638464370404517
105, 0.08379224861496049,10.77551868417407,11.223650008174275,-9.367625684296916,8,984.5929999351501,/capt0104.cr2,-0.5214246405987336,-0.25834000047318445,-0.46925211683433726
106, 0.10968332515905921,10.760720616872772,11.20095077970643,-9.25659520664294,8,994.0009999275208,/capt0105.cr2,-0.5092223304316525,-0.2587134165175637,-0.46627694726984253
107, 0.1323825536269041,10.772948465574357,11.176455639597705,-9.074141221589642,8,1002.8650000095367,/capt0106.cr2,-0.47080254554527984,-0.258945449922592,-0.4801375007440804
108, 0.15687769373562865,10.756885683854788,11.154235009269744,-9.085095875146171,8,1012.3629999160767,/capt0107.cr2,-0.4615269513172086,-0.259036279878988,-0.4907828854899595
109, -0.15423500926974398,10.623859422846348,11.126875461939905,-9.998413398377545,8,1021.194000005722,/capt0108.cr2,-0.583413145065736,-0.26041556025427987,-0.48929308113032344
110, -0.12687546193990507,10.572986379349857,11.102149359673513,-10.099156814047445,8,1030.909999847412,/capt0109.cr2,-0.6092779908490533,-0.2617985965869673,-0.4754776544369721
111, -0.10214935967351302,10.549271505256787,11.072514243935085,-10.281046223218663,8,1038.5409998893738,/capt0110.cr2,-0.608165639858399,-0.26424720247084954,-0.49839332076657317
112, -0.07251424393508543,10.523842495206818,11.04642716455394,-10.393258717587837,8,1048.8389999866486,/capt0111.cr2,-0.6035389236010943,-0.26549635337019784,-0.5167325520404197
113, -0.046427164553939804,10.500856523153569,11.01776604673431,-10.335572888977827,8,1057.62299990654,/capt0112.cr2,-0.6001277055404078,-0.2687269760259072,-0.5092217036307286
114, -0.017766046734310592,10.497644159135435,10.991504945077054,-10.310826258711161,8,1067.5699999332428,/capt0113.cr2,-0.5721340763587635,-0.27064002925846103,-0.532002728877597
115, 0.00849505492294611,10.466426596448814,10.965435374758798,-10.320041032078635,8,1076.8269999027252,/capt0114.cr2,-0.5775861834910638,-0.2728345615068446,-0.5255847259459093
116, 0.03456462524120241,10.449712492805396,10.941586119945706,-10.447471078989192,8,1087.276999950409,/capt0115.cr2,-0.5672951701487414,-0.2735383916542522,-0.5521625820622321
117, 0.058413880054294154,10.396568311693596,10.913012027516352,-10.495534409312775,8,1095.5609998703003,/capt0116.cr2,-0.5995195890773213,-0.27420314027849624,-0.5256818585525526
118, 0.08698797248364798,10.373401668730747,10.886775984790454,-10.403100981741883,8,1105.6969997882843,/capt0117.cr2,-0.593571394664166,-0.2751562763360514,-0.5183524598987
119, 0.11322401520954628,10.350950106369286,10.859719488677554,-10.527819499182806,8,1112.9499998092651,/capt0118.cr2,-0.5894084662632846,-0.276156866471196,-0.5381439338232269
120, 0.14028051132244634,10.347167765050983,10.83869995023562,-9.535072881925334,8,1122.1999998092651,/capt0119.cr2,-0.5638068959892275,-0.2767602158501335,-0.43077593908401685
121, 0.16130004976437995,10.322000882657527,10.808461059552673,-10.991519230473532,8,1131.718999862671,/capt0120.cr2,-0.5683689743359027,-0.2775452990369824,-0.619621624023586
122, -0.14179439288600726,10.189599191555093,10.780470359623319,-11.146738909919677,8,1141.5609998703003,/capt0121.cr2,-0.6807480547973385,-0.2792830821734091,-0.5262007176852094
123, -0.11380369295665282,10.194686329124357,10.752040375629193,-10.934609228510336,8,1149.0879998207092,/capt0122.cr2,-0.6443624335488581,-0.2807963114830571,-0.5327891521027963
124, -0.0853737089625266,10.15639415618244,10.722779517555708,-10.895644297119082,8,1158.4199998378754,/capt0123.cr2,-0.6552108413914279,-0.28269401529885496,-0.514847716258928
125, -0.05611285088904161,10.13708263289488,10.692371134571648,-10.895807578642112,8,1169.6749999523163,/capt0124.cr2,-0.6442665731269095,-0.28458817465450487,-0.5239195960375337
126, -0.0257044679049816,10.07836630678368,10.665902406943484,-11.1643139380651,8,1179.675999879837,/capt0125.cr2,-0.6754053105667643,-0.2867550669750732,-0.526414814200176
127, 0.0007642597231818371,10.048308586109346,10.634458344584436,-11.396217103853356,8,1188.8249998092651,/capt0126.cr2,-0.6793532029175516,-0.28930960331429134,-0.5508328076152711
128, 0.03220832208223001,10.052040551073066,10.6053857233391,-11.319644871642545,8,1196.8639998435974,/capt0127.cr2,-0.640659572862507,-0.29182788212866945,-0.5767985278944963
129, 0.061280943327565396,10.01505837535049,10.574703487063257,-11.373151832067585,8,1205.8559999465942,/capt0128.cr2,-0.6493600827874717,-0.29650026807504437,-0.5705598934131619
